DATE,LRUN64TTEZQ156S
2005-01-01,9.21224501727171
2005-04-01,9.22957823499433
2005-07-01,9.09528531905639
2005-10-01,8.98161499506487
2006-01-01,8.82985720032141
2006-04-01,8.4629467738913
2006-07-01,8.25674023347454
2006-10-01,8.1000060044856
2007-01-01,7.78868777474528
2007-04-01,7.50761561407439
2007-07-01,7.48284857334828
2007-10-01,7.3296957726943
2008-01-01,7.36110229318288
2008-04-01,7.46421143824528
2008-07-01,7.53982670919453
2008-10-01,7.96600050988805
2009-01-01,9.22030509307614
2009-04-01,9.76403235714879
2009-07-01,9.92411290857046
2009-10-01,10.159637547491
2010-01-01,10.4328876241543
2010-04-01,10.494502345168
2010-07-01,10.2547811892977
2010-10-01,10.3162995560163
2011-01-01,10.2706601050729
2011-04-01,10.2126312966165
2011-07-01,10.3536045393279
2011-10-01,10.8016522948602
2012-01-01,11.2170403723515
2012-04-01,11.5813102643923
2012-07-01,11.6676740086409
2012-10-01,12.084386305238
2013-01-01,12.3786941760525
2013-04-01,12.4087059523039
2013-07-01,12.1893461883378
2013-10-01,12.1754941070575
2014-01-01,12.1540681541703
2014-04-01,11.906315004096
2014-07-01,11.6726037981252
2014-10-01,11.7714407118912
2015-01-01,11.4697116915905
2015-04-01,11.3289222438272
2015-07-01,10.808125840793
2015-10-01,10.8084987079299
2016-01-01,10.5418238268883
2016-04-01,10.4107352343109
2016-07-01,10.0511320659073
2016-10-01,9.96413870305364
2017-01-01,9.69853694582611
2017-04-01,9.34712653311817
2017-07-01,9.08771272357869
2017-10-01,8.88917848172334
2018-01-01,8.75327099335862
2018-04-01,8.47505585804465
2018-07-01,8.09981142986158
2018-10-01,8.07263917915095
2019-01-01,7.95266341700616
2019-04-01,7.68559344726279
2019-07-01,7.6297620272449
2019-10-01,7.56596528851298
2020-01-01,7.47108229040591
2020-04-01,7.66653925944992
2020-07-01,8.90280933962764
2020-10-01,8.32340107523675
2021-01-01,8.33197009844752
2021-04-01,8.14303528597076
2021-07-01,7.71188199157801
2021-10-01,7.15494800345377
2022-01-01,6.86362468748432
2022-04-01,6.77955296893958
2022-07-01,6.90100913525125
2022-10-01,6.72378598355875
